Date,JSE,ABSA,CAPITEC,FNB,INVESTEC,NEDBANK,STANDARD,BTC,DOGE,ETH,XMR,XRP
2018-05-21,57821.2,16121,84463,6032,9690,28700,20051,8418.990234,0.004271,699.221985,198.738998,0.681587
2018-05-22,58121.84,16300,85603,6161,9765,28711,20506,8041.779785,0.003851,647.741028,176.272995,0.645567
2018-05-23,57043.41,16052,83658,6050,9575,28266,20380,7557.819824,0.003591,583.585022,171.541,0.599594
2018-05-24,56699.19,15866,83372,6011,9561,28169,20313,7587.339844,0.003499,601.755005,171.485001,0.631997
2018-05-25,56916.96,16352,87350,6150,9800,28345,20684,7480.140137,0.003514,586.734009,164.716995,0.611001
2018-05-28,56857.23,16354,87500,6130,9620,28113,20650,7135.990234,0.003226,516.036011,149.960999,0.552299
2018-05-29,55935.75,16310,87300,6000,9428,27313,20266,7472.589844,0.003437,565.388,157.574997,0.601241
2018-05-30,55601.62,16165,86835,5992,9255,27200,20251,7406.52002,0.003354,559.590027,155.231995,0.605817
2018-05-31,56157.88,16168,87444,6000,9213,27360,20740,7494.169922,0.003398,577.64502,155.520996,0.612622
2018-06-01,57282.14,16747,89741,6125,9310,27730,21107,7541.450195,0.003423,580.04303,157.537003,0.623364
2018-06-04,57870.89,16844,92750,6335,9370,28460,21663,7514.470215,0.003532,592.984985,160.093994,0.661425
2018-06-05,57779.11,16275,89410,6160,9426,27494,20815,7633.759766,0.003654,609.302979,167.194,0.677015
2018-06-06,58081.86,16499,88550,6143,9554,27570,20902,7653.97998,0.003787,607.124023,164.613998,0.674797
2018-06-07,58391.64,16251,89500,6155,9756,27341,20640,7678.240234,0.003732,605.187012,163.906006,0.678128
2018-06-08,58223.72,16263,88411,6150,9547,27062,20462,7624.919922,0.003659,601.077026,158.701004,0.674343
2018-06-11,58146.09,16173,86595,6098,9709,27012,20320,6906.919922,0.003234,533.283997,138.042007,0.604066
2018-06-12,58207.82,16204,87700,6039,9900,27132,20370,6582.359863,0.003089,496.842987,125.655998,0.562933
2018-06-13,58437.22,16272,88098,6110,9902,27514,20712,6349.899902,0.002817,477.493988,121.851997,0.534663
2018-06-14,58495.67,16568,88233,6322,9981,27581,20797,6675.350098,0.002944,519.742004,132.940002,0.561306
2018-06-15,57660.5,16230,86500,6050,9689,26495,19710,6456.580078,0.002901,491.003998,122.776001,0.537707
2018-06-18,57236.84,15840,84600,5893,9780,25900,19017,6734.819824,0.003027,518.890991,127.427002,0.537495
2018-06-19,56253.3,15500,84948,5688,9656,25350,18600,6769.939941,0.003033,537.95697,126.220001,0.549621
2018-06-20,56651.65,15837,86211,5900,9620,25668,18800,6776.549805,0.003021,536.268005,122.546997,0.539286
2018-06-21,56234.43,16149,86232,5985,9530,25473,18845,6729.740234,0.002988,527.367004,123.612999,0.534775
